Days,pHT,AlkalinityT,BiogasT,TS_T,pHM,AlkalinityM,BiogasM,TS_M,,Level_T,Trend_T,Prediction_T,[e]_T,[e^2]_T,Forecast_T,,Level_M,Trend_M,Prediction_M,[e]_M,[e^2]_M,Forecast_M
33,6.6,3890,0.64,61.8300153139358,6.76,4400,1.97,57.0975416336248,,58.921427119577,-0.130686762972313,58.7907403566047,3.03927495733109,9.23719226625993,58.1942800709873,,53.1924823242538,-0.25568051601952,52.9368018082342,4.16073982539057,17.3117558945912,52.216217496911
34,6.79,4390,0.47,58.79074,6.98,4900,2.03,52.9368018082342,,58.7907402852838,-0.130686770104407,58.6600535151794,0.130686484820636,0.017078957314774,58.7907403566047,,52.9368018082342,-0.25568051601952,52.6811212922147,0.255680516019517,0.065372526272006,52.9368018082342
35,7,4520,0.69,58.66005,7.12,4510,1.83,52.6811212922147,,58.6600528121435,-0.130686840407993,58.5293659717355,0.130684028264497,0.017078315243436,58.6600535151794,,52.6811212922147,-0.25568051601952,52.4254407761952,0.255680516019517,0.065372526272006,52.6811212922147
36,5.98,5350,0,58.52937,6.1,4100,0,52.4254407761952,,58.5293667773884,-0.130686759842703,58.3986800175457,0.1306899824543,0.017079871513905,58.5293659717355,,52.4254407761952,-0.255680516019519,52.1697602601757,0.25568051601951,0.065372526272003,52.4254407761952
37,6.1,5125,0.3,58.39868,6.46,3825,0.5,52.1697602601757,,58.3986800140366,-0.130686760193617,58.267993253843,0.130686746157053,0.017079025621118,58.3986800175457,,52.1697602601757,-0.255680516019518,51.9140797441562,0.25568051601951,0.065372526272003,52.1697602601757
38,6.23,4400,3.2,58.26799,6.73,3550,5.1,51.9140797441562,,58.2679926030744,-0.130686825270475,58.1373057778039,0.130684222196109,0.017078365931002,58.267993253843,,51.9140797441562,-0.255680516019517,51.6583992281367,0.25568051601951,0.065372526272003,51.9140797441562
39,6.43,5125,0.32,58.13731,6.92,4475,1.62,51.6583992281367,,58.1373066222431,-0.130686740826552,58.0066198814166,0.130690118583438,0.017079907095353,58.1373057778039,,51.6583992281367,-0.255680516019516,51.4027187121172,0.25568051601951,0.065372526272003,51.6583992281367
40,6.68,3425,1.24,58.00662,6.98,5250,1.78,51.4027187121172,,58.0066199051332,-0.130686738454884,57.8759331666784,0.130686833321633,0.017079048403636,58.0066198814166,,51.4027187121172,-0.255680516019516,51.1470381960976,0.25568051601951,0.065372526272003,51.4027187121172
41,6.8,3275,0.6,57.87593,7.06,4225,1.48,51.1470381960976,,57.8759325333427,-0.130686801788451,57.7452457315543,0.130684268445748,0.0170783780192,57.8759331666784,,51.1470381960977,-0.255680516019515,50.8913576800781,0.25568051601951,0.065372526272003,51.1470381960976
42,6.75,3275,0.64,57.74525,7.2,4850,1.92,50.8913576800781,,57.7452465852434,-0.130686716419535,57.6145598688239,0.130690131176131,0.017079910386834,57.7452457315543,,50.8913576800781,-0.255680516019514,50.6356771640586,0.25568051601951,0.065372526272003,50.8913576800781
